コード,方向,案内カテゴリ,案内情報,読み情報,音声情報
521,0,normal,前方は金沢歌劇座、金沢２１世紀美術館方面です。右は香林坊交差点方面です。この場所のキーワードは「ささがれい」です。,,message/wm00521_0.mp3
521,1,normal,前方は香林坊交差点方面です。左は金沢歌劇座方面です 。右は金沢城公園方面です。この場所のキーワードは「ささがれい」です。,,message/wm00521_1.mp3
521,2,normal,前方は金沢城公園方面です。左は金沢市役所、香林坊交差点方面です。この場所のキーワードは「ささがれい」です。,,message/wm00521_2.mp3
521,3,normal,前方は兼六園入口方面です。左は金沢城公園方面です。右は金沢歌劇座方面です。この場所のキーワードは「ささがれい」です。,,message/wm00521_3.mp3
522,0,normal,前方は金沢城公園方面です。左は金沢市役所、香林坊交差点方面です。 右は兼六園真弓坂口、石浦神社方面です。,,message/wm00522_0.mp3
522,1,normal,前方は兼六園真弓坂口、石浦神社方面です。右は金沢歌劇座方面です 。,,message/wm00522_1.mp3
522,2,normal,前方は金沢歌劇座方面です 。左は兼六園真弓坂口、石浦神社方面です。右に金沢２１世紀美術館があります。,,message/wm00522_2.mp3
522,3,normal,右は金沢市役所、香林坊交差点、金沢城公園方面です。左は金沢歌劇座方面です 。,,message/wm00522_3.mp3
524,0,normal,左は広坂交差点、兼六園方面です。右は金沢歌劇座方面です。この場所のキーワードは「まだい」です。,,message/wm00524_0.mp3
524,1,normal,前方は金沢歌劇座方面です。右は金沢２１世紀美術館入口です。この場所のキーワードは「まだい」です。,,message/wm00524_1.mp3
524,2,normal,前方は金沢２１世紀美術館入口です。左は金沢歌劇座方面、右は広坂交差点方面です。この場所のキーワードは「まだい」です。,,message/wm00524_2.mp3
524,3,normal,前方は広坂交差点、兼六園方面です。左は金沢２１世紀美術館入口です。この場所のキーワードは「まだい」です。,,message/wm00524_3.mp3
528,0,normal,前方１メートル先にバス停があります。左は５メートル先に金沢２１世紀美術館入口があります。右は金沢歌劇座方面です。,,message/wm00528_0.mp3
528,1,normal,前方は金沢歌劇座方面です。左１メートル先にバス停があります。,,message/wm00528_1.mp3
528,2,normal,左は金沢歌劇座方面です。右は広坂交差点方面で、５メートル先に金沢２１世紀美術館入口があります。,,message/wm00528_2.mp3
528,3,normal,前方は広坂交差点方面です。５メートル先左手に金沢２１世紀美術館入口があります。右１メートル先にバス停があります。,"前方は広坂交差点方面です。５メートル先,左手に金沢２１世紀美術館入口があります。右１メートル先にバス停があります。",message/wm00528_3.mp3
529,0,normal,左は広坂交差点、兼六園方面です。右は金沢歌劇座方面です。この場所のキーワードは「のどぐろ」です。,,message/wm00529_0.mp3
529,1,normal,前方は金沢歌劇座方面です。右は金沢市役所、柿木畠方面です。この場所のキーワードは「のどぐろ」です。,前方は金沢歌劇座方面です。右は金沢市役所、カキノキバタケ方面です。この場所のキーワードは「のどぐろ」です。,message/wm00529_1.mp3
529,2,normal,前方は市役所、柿木畠方面です。左は金沢歌劇座方面です。右は兼六園方面です。この場所のキーワードは「のどぐろ」です。,前方は市役所、カキノキバタケ方面です。左は金沢歌劇座方面です。右は兼六園方面です。この場所のキーワードは「のどぐろ」です。,message/wm00529_2.mp3
529,3,normal,前方は金沢２１世紀美術館、兼六園方面です。左は市役所、柿木畠方面です。この場所のキーワードは「のどぐろ」です。,前方は金沢２１世紀美術館、兼六園方面です。左は市役所、カキノキバタケ方面です。この場所のキーワードは「のどぐろ」です。,message/wm00529_3.mp3
530,0,normal,前方は広坂交差点方面です。左は側道です。右は本多公園方面への横断歩道です。この場所のキーワードは「ずわいがに」です。,前方は広坂交差点方面です。左は側道です。右は本多公園方面への横断歩道です。この場所のキーワードは「ズワイガニ」です。,message/wm00530_0.mp3
530,1,normal,前方は本多公園方面、右は金沢歌劇座方面への横断歩道です。左は広坂交差点方面です。この場所のキーワードは「ずわいがに」です。,,message/wm00530_1.mp3
530,2,normal,前方は金沢歌劇座方面、左は本多公園方面への横断歩道です。右は側道です。この場所のキーワードは「ずわいがに」です。,,message/wm00530_2.mp3
530,3,normal,前方は側道です。左は金沢歌劇座方面への横断歩道です。右は広坂交差点方面です。この場所のキーワードは「ずわいがに」です。,,message/wm00530_3.mp3
532,0,normal,右は側道です。注意してください。その先に本多公園方面への横断歩道があります。左は金沢市役所方面です。,,message/wm00532_0.mp3
532,1,normal,前方は側道です。注意してください。その先に本多公園方面への横断歩道があります。,,message/wm00532_1.mp3
532,2,normal,左は側道です、注意してください。その先に本多公園方面への横断歩道があります。,,message/wm00532_2.mp3
532,3,normal,前方は金沢市役所、ふるさと偉人館、石川国際交流サロン方面です。,,message/wm00532_3.mp3
536,0,normal,左は側道です。側道を直進すると石川国際交流サロン方面です。右は金沢歌劇座前交差点方面です。,,message/wm00536_0.mp3
536,1,normal,前方は金沢歌劇座前交差点方面です。左は１０メートルで石川国際交流サロンです。点字ブロックはありません。,,message/wm00536_1.mp3
536,2,normal,右は側道です、注意してください。左は金沢歌劇座前交差点方面です。,,message/wm00536_2.mp3
536,3,normal,前方は側道です。側道を右に１０メートル進むと石川国際交流サロン入口です。点字ブロックはありません。,,message/wm00536_3.mp3
544,0,normal,左は柿木畠方面です。右は側道です。その先は金沢歌劇座前交差点方面です。側道前方は石川国際交流サロン方面です。,左はカキノキバタケ方面です。右は側道で、その先は金沢歌劇座前交差点方面です。側道前方は石川国際交流サロン方面です。,message/wm00544_0.mp3
544,1,normal,前方は側道です。その先は金沢歌劇座前交差点方面です。左は石川国際交流サロン方面です。点字ブロックはありません。,,message/wm00544_1.mp3
544,2,normal,左は側道です、注意してください。右は柿木畠方面です。,左は側道です、注意してください。右はカキノキバタケ方面です。,message/wm00544_2.mp3
544,3,normal,前方は柿木畠方面です。右は１０メートルで石川国際交流サロン入口です。点字ブロックはありません。,前方はカキノキバタケ方面です。右は１０メートルで石川国際交流サロン入口です。点字ブロックはありません。,message/wm00544_3.mp3
545,0,normal,右は金沢歌劇座前交差点、本多公園、中村記念美術館方面です。左は知事公舎、市役所、柿木畠方面です。,右は金沢歌劇座前交差点、本多公園、中村記念美術館方面です。左は知事公舎、市役所、カキノキバタケ方面です。,message/wm00545_0.mp3
545,1,normal,前方は金沢歌劇座前交差点、本多公園、中村記念美術館方面です。右は金沢ふるさと偉人館方面への横断歩道です。,,message/wm00545_1.mp3
545,2,normal,前方はふるさと偉人館方面への横断歩道です。右は金沢市役所、柿木畠方面です。左は金沢歌劇座前交差点方面です。,前方はふるさと偉人館方面への横断歩道です。右は金沢市役所、カキノキバタケ方面です。左は金沢歌劇座前交差点方面です。,message/wm00545_2.mp3
